Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	159	159	0	100	0.5	20	0
1	193	14	4	100	0.25	10	0.8
2	261	186	4	100	0.25	10	0.8
3	126	195	4.8	100	0.25	10	0.8
4	92	224	1.8	100	0.25	10	0.8
5	275	206	4.8	100	0.25	10	0.8
6	139	200	0.8	100	0.25	10	0.8
7	151	145	5.6	100	0.25	10	0.8
8	179	150	7.6	100	0.25	10	0.8
9	164	193	9	100	0.25	10	0.8
10	151	173	4.8	100	0.25	10	0.8
11	176	161	3.8	100	0.25	10	0.8
12	153	185	0.4	100	0.25	10	0.8
13	130	215	4	100	0.25	10	0.8
14	9	202	8.4	100	0.25	10	0.8
15	198	128	9.8	100	0.25	10	0.8
16	51	51	3.6	100	0.25	10	0.8
17	146	241	6	100	0.25	10	0.8
18	133	250	9.6	100	0.25	10	0.8
19	139	202	9.8	100	0.25	10	0.8
20	239	25	4.8	100	0.25	10	0.8
21	185	244	3.8	100	0.25	10	0.8
22	192	97	10	100	0.25	10	0.8
23	158	89	8.4	100	0.25	10	0.8
24	88	116	5.8	100	0.25	10	0.8
25	196	20	2.8	100	0.25	10	0.8
26	129	159	1.4	100	0.25	10	0.8
27	120	232	3.4	100	0.25	10	0.8
28	255	116	6.8	100	0.25	10	0.8
29	217	99	9.4	100	0.25	10	0.8
30	177	109	1	100	0.25	10	0.8
31	179	45	2.4	100	0.25	10	0.8
32	152	149	5.2	100	0.25	10	0.8
33	144	222	7.8	100	0.25	10	0.8
34	83	68	4.8	100	0.25	10	0.8
35	26	145	2.2	100	0.25	10	0.8
36	210	33	3.6	100	0.25	10	0.8
37	133	78	2.8	100	0.25	10	0.8
38	254	223	5.6	100	0.25	10	0.8
39	192	142	4	100	0.25	10	0.8
-1
