Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	175	175	0	100	0.5	20	0
1	318	105	8	100	0.25	10	0.08
2	138	187	7.8	100	0.25	10	0.08
3	92	217	9.4	100	0.25	10	0.08
4	184	245	2.8	100	0.25	10	0.08
5	154	105	9.8	100	0.25	10	0.08
6	84	74	0.4	100	0.25	10	0.08
7	188	186	9	100	0.25	10	0.08
8	39	148	8.6	100	0.25	10	0.08
9	70	62	8.4	100	0.25	10	0.08
10	73	171	3.2	100	0.25	10	0.08
11	228	203	5	100	0.25	10	0.08
12	218	147	4.4	100	0.25	10	0.08
13	163	207	6.6	100	0.25	10	0.08
14	206	177	5	100	0.25	10	0.08
15	184	233	7.8	100	0.25	10	0.08
16	258	267	6	100	0.25	10	0.08
17	100	170	0.4	100	0.25	10	0.08
18	175	175	7.6	100	0.25	10	0.08
19	118	162	4.4	100	0.25	10	0.08
20	257	53	7.4	100	0.25	10	0.08
21	28	157	6.8	100	0.25	10	0.08
22	170	175	8.4	100	0.25	10	0.08
23	324	99	1	100	0.25	10	0.08
24	267	103	8.2	100	0.25	10	0.08
25	173	231	4.2	100	0.25	10	0.08
26	189	249	2.6	100	0.25	10	0.08
27	252	95	9.6	100	0.25	10	0.08
28	170	160	1.6	100	0.25	10	0.08
29	197	181	6.2	100	0.25	10	0.08
30	100	146	6	100	0.25	10	0.08
31	114	190	3.2	100	0.25	10	0.08
32	303	294	8.6	100	0.25	10	0.08
33	122	150	7	100	0.25	10	0.08
34	106	244	4.8	100	0.25	10	0.08
35	161	77	7.8	100	0.25	10	0.08
36	134	200	5.2	100	0.25	10	0.08
37	187	190	5	100	0.25	10	0.08
38	124	203	6	100	0.25	10	0.08
39	274	244	9.8	100	0.25	10	0.08
40	173	143	9.6	100	0.25	10	0.08
41	151	312	2.6	100	0.25	10	0.08
42	162	104	9	100	0.25	10	0.08
43	201	190	10	100	0.25	10	0.08
44	148	182	0.6	100	0.25	10	0.08
45	272	259	8.6	100	0.25	10	0.08
46	112	110	3.4	100	0.25	10	0.08
47	222	170	1.4	100	0.25	10	0.08
-1
