Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	154	154	0	100	0.5	20	0
1	245	162	3.4	100	0.25	10	0.08
2	89	186	4	100	0.25	10	0.08
3	218	127	1.8	100	0.25	10	0.08
4	230	211	7.2	100	0.25	10	0.08
5	114	187	2	100	0.25	10	0.08
6	81	203	8	100	0.25	10	0.08
7	75	98	8	100	0.25	10	0.08
8	161	146	2	100	0.25	10	0.08
9	243	167	1.2	100	0.25	10	0.08
10	136	153	4.2	100	0.25	10	0.08
11	86	263	3.2	100	0.25	10	0.08
12	285	143	5.4	100	0.25	10	0.08
13	182	189	7.8	100	0.25	10	0.08
14	103	279	7.4	100	0.25	10	0.08
15	206	96	1	100	0.25	10	0.08
16	91	134	1.6	100	0.25	10	0.08
17	146	127	3.4	100	0.25	10	0.08
18	31	234	5.4	100	0.25	10	0.08
19	159	187	8	100	0.25	10	0.08
20	192	166	2.8	100	0.25	10	0.08
21	213	117	9.4	100	0.25	10	0.08
22	65	170	2	100	0.25	10	0.08
23	161	206	1.8	100	0.25	10	0.08
24	185	31	1.4	100	0.25	10	0.08
25	78	218	7	100	0.25	10	0.08
26	95	176	2.6	100	0.25	10	0.08
27	229	257	7.4	100	0.25	10	0.08
28	192	239	3	100	0.25	10	0.08
29	188	137	2.2	100	0.25	10	0.08
30	151	186	6.6	100	0.25	10	0.08
31	148	82	9.6	100	0.25	10	0.08
-1
