Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	97	97	0	100	0.5	20	0
1	90	161	2.4	24	0.25	10	0.8
2	101	39	2	14	0.25	10	0.8
3	90	147	0.6	3	0.25	10	0.8
4	106	116	7	14	0.25	10	0.8
5	124	67	7.6	45.6	0.25	10	0.8
6	115	99	8.4	50.4	0.25	10	0.8
7	46	82	9.4	56.4	0.25	10	0.8
8	49	88	4.6	32.2	0.25	10	0.8
9	47	120	5.2	15.6	0.25	10	0.8
10	128	84	6	36	0.25	10	0.8
11	147	16	3.4	6.8	0.25	10	0.8
12	94	161	0.2	0.6	0.25	10	0.8
13	160	82	7.2	28.8	0.25	10	0.8
14	10	125	5.6	39.2	0.25	10	0.8
15	170	36	4	32	0.25	10	0.8
16	108	151	3.4	6.8	0.25	10	0.8
17	82	47	8.2	57.4	0.25	10	0.8
18	99	137	9	18	0.25	10	0.8
19	89	98	7.4	14.8	0.25	10	0.8
20	57	91	9.6	96	0.25	10	0.8
21	128	109	6.6	59.4	0.25	10	0.8
22	112	26	3.2	9.6	0.25	10	0.8
23	165	29	3.4	27.2	0.25	10	0.8
24	70	29	7.6	53.2	0.25	10	0.8
25	110	69	0.6	2.4	0.25	10	0.8
26	122	94	8.2	57.4	0.25	10	0.8
27	117	189	7.2	21.6	0.25	10	0.8
28	109	117	3.2	16	0.25	10	0.8
29	101	92	0.2	0.8	0.25	10	0.8
30	147	94	4.4	30.8	0.25	10	0.8
31	54	156	2.6	20.8	0.25	10	0.8
32	159	74	4.6	46	0.25	10	0.8
33	74	56	4.2	12.6	0.25	10	0.8
34	67	150	0.8	7.2	0.25	10	0.8
35	101	177	2	4	0.25	10	0.8
36	55	111	9	18	0.25	10	0.8
37	110	2	7.8	39	0.25	10	0.8
38	57	109	4	32	0.25	10	0.8
39	33	138	3.6	36	0.25	10	0.8
40	116	71	3.2	22.4	0.25	10	0.8
41	188	79	4	36	0.25	10	0.8
42	76	130	0.6	4.2	0.25	10	0.8
43	97	188	9.2	55.2	0.25	10	0.8
44	132	42	5.2	52	0.25	10	0.8
45	97	120	9.6	96	0.25	10	0.8
46	161	163	4.6	32.2	0.25	10	0.8
47	66	60	5.2	36.4	0.25	10	0.8
48	115	73	0.8	2.4	0.25	10	0.8
49	61	137	5.2	26	0.25	10	0.8
50	141	180	4.4	17.6	0.25	10	0.8
51	101	96	8.6	25.8	0.25	10	0.8
52	117	64	2.2	15.4	0.25	10	0.8
53	68	14	2.4	19.2	0.25	10	0.8
54	62	131	9.8	98	0.25	10	0.8
55	98	94	1.4	9.8	0.25	10	0.8
-1
