Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	157	157	0	100	0.5	20	0
1	144	144	2.4	14.4	0.25	10	0.8
2	175	229	8.2	73.8	0.25	10	0.8
3	153	131	8.6	17.2	0.25	10	0.8
4	180	28	8.2	65.6	0.25	10	0.8
5	128	55	2.6	18.2	0.25	10	0.8
6	63	245	5.4	27	0.25	10	0.8
7	76	149	9.6	96	0.25	10	0.8
8	111	214	9.6	67.2	0.25	10	0.8
9	145	197	3	18	0.25	10	0.8
10	137	126	8.8	26.4	0.25	10	0.8
11	39	123	0.2	1.4	0.25	10	0.8
12	108	190	1.2	3.6	0.25	10	0.8
13	134	179	5.4	43.2	0.25	10	0.8
14	141	167	7.8	15.6	0.25	10	0.8
15	161	143	8.6	43	0.25	10	0.8
16	50	148	0.8	7.2	0.25	10	0.8
17	190	178	8.2	41	0.25	10	0.8
18	242	188	6.6	13.2	0.25	10	0.8
19	104	104	9	72	0.25	10	0.8
20	157	158	7.4	59.2	0.25	10	0.8
21	168	201	6.6	52.8	0.25	10	0.8
22	156	83	9.2	92	0.25	10	0.8
23	121	182	3.2	9.6	0.25	10	0.8
24	203	193	7.2	57.6	0.25	10	0.8
25	202	228	8	56	0.25	10	0.8
26	294	171	9.8	78.4	0.25	10	0.8
27	192	36	3	6	0.25	10	0.8
28	54	229	9.8	88.2	0.25	10	0.8
29	93	217	7.2	64.8	0.25	10	0.8
30	138	52	7.4	74	0.25	10	0.8
31	221	284	9.2	27.6	0.25	10	0.8
32	102	293	2.6	26	0.25	10	0.8
33	210	91	0.2	2	0.25	10	0.8
34	154	186	5.4	10.8	0.25	10	0.8
35	223	148	4.8	33.6	0.25	10	0.8
36	67	101	8	64	0.25	10	0.8
37	53	233	2.4	16.8	0.25	10	0.8
38	193	207	7.6	53.2	0.25	10	0.8
39	262	140	10	100	0.25	10	0.8
40	68	123	6.8	68	0.25	10	0.8
41	144	94	4.6	9.2	0.25	10	0.8
42	132	147	4	16	0.25	10	0.8
43	232	249	2	10	0.25	10	0.8
44	178	177	6.8	61.2	0.25	10	0.8
45	140	276	5.8	17.4	0.25	10	0.8
46	148	109	6.8	20.4	0.25	10	0.8
47	159	146	0.2	2	0.25	10	0.8
48	225	82	3.2	28.8	0.25	10	0.8
49	96	43	2.2	6.6	0.25	10	0.8
50	136	163	8.6	60.2	0.25	10	0.8
51	129	198	6.4	38.4	0.25	10	0.8
52	164	108	9.6	86.4	0.25	10	0.8
53	135	127	2.8	11.2	0.25	10	0.8
54	116	122	9.8	58.8	0.25	10	0.8
55	108	152	2.8	16.8	0.25	10	0.8
56	73	282	1.2	3.6	0.25	10	0.8
57	233	59	2.4	9.6	0.25	10	0.8
58	215	43	6.8	54.4	0.25	10	0.8
59	32	63	5.2	20.8	0.25	10	0.8
60	205	217	7.2	43.2	0.25	10	0.8
61	97	44	3	24	0.25	10	0.8
62	254	248	0.2	1	0.25	10	0.8
63	143	204	5.6	44.8	0.25	10	0.8
64	162	146	3.8	19	0.25	10	0.8
65	153	163	8.6	17.2	0.25	10	0.8
66	211	179	3.6	7.2	0.25	10	0.8
67	177	176	4	16	0.25	10	0.8
68	258	101	5.8	34.8	0.25	10	0.8
69	194	70	8.2	24.6	0.25	10	0.8
70	40	119	9	81	0.25	10	0.8
71	236	125	7.8	39	0.25	10	0.8
72	244	157	2.8	14	0.25	10	0.8
73	180	122	9.8	78.4	0.25	10	0.8
74	133	172	6.2	43.4	0.25	10	0.8
75	246	184	1.8	7.2	0.25	10	0.8
76	42	145	5.8	17.4	0.25	10	0.8
77	184	91	7	14	0.25	10	0.8
78	214	166	6	48	0.25	10	0.8
79	63	75	6.4	19.2	0.25	10	0.8
80	176	134	1.6	4.8	0.25	10	0.8
81	161	148	6.2	62	0.25	10	0.8
82	147	165	0.4	0.8	0.25	10	0.8
83	164	171	4	36	0.25	10	0.8
84	95	171	6.4	51.2	0.25	10	0.8
85	146	236	4.4	17.6	0.25	10	0.8
86	195	155	8.4	67.2	0.25	10	0.8
87	158	126	7.6	15.2	0.25	10	0.8
88	216	128	4.4	30.8	0.25	10	0.8
89	46	114	6.4	44.8	0.25	10	0.8
90	224	62	2.2	17.6	0.25	10	0.8
91	142	158	0.2	0.6	0.25	10	0.8
92	197	175	4.4	30.8	0.25	10	0.8
93	132	230	5.8	34.8	0.25	10	0.8
94	283	98	8.6	86	0.25	10	0.8
95	193	245	0.8	1.6	0.25	10	0.8
96	129	227	4.4	44	0.25	10	0.8
97	109	74	9.6	67.2	0.25	10	0.8
98	138	127	3	24	0.25	10	0.8
99	171	149	4	16	0.25	10	0.8
100	167	208	8.2	24.6	0.25	10	0.8
101	234	215	5	15	0.25	10	0.8
102	250	241	4	12	0.25	10	0.8
103	156	158	8.2	32.8	0.25	10	0.8
104	163	164	8.6	68.8	0.25	10	0.8
105	283	196	0.8	2.4	0.25	10	0.8
106	155	169	9.4	75.2	0.25	10	0.8
107	175	101	5.2	26	0.25	10	0.8
108	267	204	1.2	6	0.25	10	0.8
109	62	252	4.2	37.8	0.25	10	0.8
110	226	281	9.4	94	0.25	10	0.8
111	90	106	9.6	19.2	0.25	10	0.8
112	129	123	2.8	8.4	0.25	10	0.8
113	195	117	2.6	13	0.25	10	0.8
114	190	145	5.2	10.4	0.25	10	0.8
115	84	187	0.6	1.2	0.25	10	0.8
116	213	80	4.8	48	0.25	10	0.8
-1
