Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	173	173	0	100	0.5	20	0
1	73	182	8.6	51.6	0.25	10	0.08
2	175	167	3.6	18	0.25	10	0.08
3	167	175	9.8	29.4	0.25	10	0.08
4	203	150	3	30	0.25	10	0.08
5	139	235	3	30	0.25	10	0.08
6	137	80	6.6	66	0.25	10	0.08
7	261	137	2.6	15.6	0.25	10	0.08
8	61	173	8.2	16.4	0.25	10	0.08
9	86	208	3	6	0.25	10	0.08
10	169	168	7.6	45.6	0.25	10	0.08
11	158	166	10	30	0.25	10	0.08
12	224	194	5.2	46.8	0.25	10	0.08
13	115	141	5.4	10.8	0.25	10	0.08
14	75	213	6.8	61.2	0.25	10	0.08
15	280	148	8.4	84	0.25	10	0.08
16	176	136	9.2	27.6	0.25	10	0.08
17	96	256	4.8	14.4	0.25	10	0.08
18	171	180	5.2	36.4	0.25	10	0.08
19	184	194	5	50	0.25	10	0.08
20	41	87	1.8	14.4	0.25	10	0.08
21	226	217	6.8	61.2	0.25	10	0.08
22	201	235	4.2	37.8	0.25	10	0.08
23	272	310	5.6	11.2	0.25	10	0.08
24	193	135	4.6	32.2	0.25	10	0.08
25	121	113	5.4	43.2	0.25	10	0.08
26	181	55	1.6	3.2	0.25	10	0.08
27	170	133	7.8	23.4	0.25	10	0.08
28	37	197	7.6	22.8	0.25	10	0.08
29	292	134	6	18	0.25	10	0.08
30	81	109	6	54	0.25	10	0.08
31	90	189	10	30	0.25	10	0.08
32	252	156	7.4	74	0.25	10	0.08
33	73	184	0.4	3.2	0.25	10	0.08
34	254	66	1.6	3.2	0.25	10	0.08
35	159	188	7.2	72	0.25	10	0.08
36	254	325	1.6	16	0.25	10	0.08
37	341	173	4.8	19.2	0.25	10	0.08
38	225	197	1.8	14.4	0.25	10	0.08
-1
