Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	150	150	0	100	0.5	20	0
1	131	127	3	100	0.25	10	0.08
2	53	105	2.6	100	0.25	10	0.08
3	209	234	8	100	0.25	10	0.08
4	214	107	9.4	100	0.25	10	0.08
5	227	136	9	100	0.25	10	0.08
6	125	213	7.2	100	0.25	10	0.08
7	136	63	0.6	100	0.25	10	0.08
8	183	7	5.2	100	0.25	10	0.08
9	113	139	9	100	0.25	10	0.08
10	118	206	8.6	100	0.25	10	0.08
11	152	25	1.8	100	0.25	10	0.08
12	161	148	6.8	100	0.25	10	0.08
13	294	119	5.4	100	0.25	10	0.08
14	145	169	2.2	100	0.25	10	0.08
15	117	93	0.4	100	0.25	10	0.08
16	150	150	5.8	100	0.25	10	0.08
17	206	256	0.6	100	0.25	10	0.08
18	114	231	6	100	0.25	10	0.08
19	124	105	0.2	100	0.25	10	0.08
20	34	150	1.2	100	0.25	10	0.08
21	151	167	7.4	100	0.25	10	0.08
22	80	23	7.2	100	0.25	10	0.08
23	155	148	6.4	100	0.25	10	0.08
24	23	137	5.2	100	0.25	10	0.08
25	157	176	7	100	0.25	10	0.08
26	137	175	4	100	0.25	10	0.08
27	127	163	0.8	100	0.25	10	0.08
28	247	218	3	100	0.25	10	0.08
29	119	48	9.4	100	0.25	10	0.08
30	162	63	5.4	100	0.25	10	0.08
31	180	140	8.2	100	0.25	10	0.08
32	272	185	7.4	100	0.25	10	0.08
33	67	132	7.8	100	0.25	10	0.08
34	86	111	2.6	100	0.25	10	0.08
35	148	155	8	100	0.25	10	0.08
36	234	114	9	100	0.25	10	0.08
37	105	150	5.4	100	0.25	10	0.08
38	209	276	9.2	100	0.25	10	0.08
39	204	81	1.6	100	0.25	10	0.08
40	233	190	2	100	0.25	10	0.08
41	134	281	1.4	100	0.25	10	0.08
42	142	138	3.8	100	0.25	10	0.08
43	193	102	6	100	0.25	10	0.08
44	30	66	6	100	0.25	10	0.08
45	120	149	6.2	100	0.25	10	0.08
46	136	130	4.6	100	0.25	10	0.08
47	85	106	8.4	100	0.25	10	0.08
48	148	145	5.8	100	0.25	10	0.08
49	40	89	3.8	100	0.25	10	0.08
50	268	123	6.8	100	0.25	10	0.08
51	80	218	4.4	100	0.25	10	0.08
52	293	155	3.6	100	0.25	10	0.08
53	218	192	8.6	100	0.25	10	0.08
54	116	268	7	100	0.25	10	0.08
55	142	182	0.6	100	0.25	10	0.08
56	124	111	5	100	0.25	10	0.08
57	198	18	3.4	100	0.25	10	0.08
58	260	186	3.8	100	0.25	10	0.08
59	75	63	7.6	100	0.25	10	0.08
60	269	109	1.6	100	0.25	10	0.08
61	169	165	2.6	100	0.25	10	0.08
62	78	88	1.8	100	0.25	10	0.08
63	208	75	7.2	100	0.25	10	0.08
64	199	23	6	100	0.25	10	0.08
65	85	130	8.2	100	0.25	10	0.08
66	125	202	2.8	100	0.25	10	0.08
67	82	89	1.6	100	0.25	10	0.08
68	133	181	2	100	0.25	10	0.08
69	96	48	8.6	100	0.25	10	0.08
70	239	109	0.6	100	0.25	10	0.08
71	88	192	2.6	100	0.25	10	0.08
72	98	90	0.6	100	0.25	10	0.08
73	117	92	4	100	0.25	10	0.08
74	134	197	9.6	100	0.25	10	0.08
75	252	216	6.4	100	0.25	10	0.08
76	148	145	4.6	100	0.25	10	0.08
77	53	223	9.6	100	0.25	10	0.08
78	181	143	5.2	100	0.25	10	0.08
79	174	106	8	100	0.25	10	0.08
80	160	184	2	100	0.25	10	0.08
81	36	140	7.6	100	0.25	10	0.08
82	229	110	2	100	0.25	10	0.08
83	250	215	5.2	100	0.25	10	0.08
84	204	124	8.4	100	0.25	10	0.08
85	91	107	1.2	100	0.25	10	0.08
86	17	109	6.8	100	0.25	10	0.08
87	157	85	5	100	0.25	10	0.08
88	151	104	2	100	0.25	10	0.08
89	150	150	7.6	100	0.25	10	0.08
90	125	93	4.4	100	0.25	10	0.08
91	250	193	3.6	100	0.25	10	0.08
92	40	114	8.2	100	0.25	10	0.08
93	238	62	10	100	0.25	10	0.08
94	73	214	0.2	100	0.25	10	0.08
95	173	18	7.8	100	0.25	10	0.08
96	128	196	6.2	100	0.25	10	0.08
97	62	155	1.4	100	0.25	10	0.08
98	195	138	8.4	100	0.25	10	0.08
99	150	241	7.6	100	0.25	10	0.08
100	190	275	9.6	100	0.25	10	0.08
101	121	240	1.4	100	0.25	10	0.08
102	236	186	5.8	100	0.25	10	0.08
103	167	68	6.8	100	0.25	10	0.08
104	126	134	5.8	100	0.25	10	0.08
105	254	150	2.6	100	0.25	10	0.08
106	167	150	4	100	0.25	10	0.08
107	132	166	3	100	0.25	10	0.08
108	204	57	7.4	100	0.25	10	0.08
109	85	176	1.4	100	0.25	10	0.08
110	144	116	4.8	100	0.25	10	0.08
111	138	145	2.6	100	0.25	10	0.08
112	148	147	9.2	100	0.25	10	0.08
113	158	110	5.2	100	0.25	10	0.08
114	269	84	2.8	100	0.25	10	0.08
115	97	18	8.2	100	0.25	10	0.08
116	83	94	6.4	100	0.25	10	0.08
117	90	233	4.8	100	0.25	10	0.08
118	182	135	7.6	100	0.25	10	0.08
119	284	164	9	100	0.25	10	0.08
120	133	116	7.8	100	0.25	10	0.08
-1
