Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	75	75	0	100	0.5	20	0
1	42	26	9	54	0.25	10	0.8
2	37	44	7	28	0.25	10	0.8
3	62	38	7.6	22.8	0.25	10	0.8
4	56	90	3	21	0.25	10	0.8
5	84	66	4.4	8.8	0.25	10	0.8
6	76	57	2.2	19.8	0.25	10	0.8
7	47	74	4.4	26.4	0.25	10	0.8
8	79	51	5.2	10.4	0.25	10	0.8
9	127	76	4.8	19.2	0.25	10	0.8
10	69	7	6.2	12.4	0.25	10	0.8
11	110	80	0.4	3.6	0.25	10	0.8
12	102	42	8.8	88	0.25	10	0.8
13	85	64	6.2	31	0.25	10	0.8
14	92	124	7	70	0.25	10	0.8
15	70	149	2.8	28	0.25	10	0.8
16	75	98	0.6	6	0.25	10	0.8
17	77	71	7.8	23.4	0.25	10	0.8
18	34	105	6.4	38.4	0.25	10	0.8
19	69	10	7	63	0.25	10	0.8
20	99	33	2.6	20.8	0.25	10	0.8
21	75	75	3	9	0.25	10	0.8
22	77	57	8.6	25.8	0.25	10	0.8
23	112	92	4.8	19.2	0.25	10	0.8
24	99	12	3.6	7.2	0.25	10	0.8
25	81	122	0.2	1.6	0.25	10	0.8
26	140	85	2.6	7.8	0.25	10	0.8
27	78	16	6.8	68	0.25	10	0.8
28	114	103	9	18	0.25	10	0.8
29	111	99	5	25	0.25	10	0.8
30	75	75	9	45	0.25	10	0.8
31	57	54	8.8	70.4	0.25	10	0.8
32	32	103	9.6	86.4	0.25	10	0.8
33	75	66	9.2	73.6	0.25	10	0.8
34	136	76	8.2	73.8	0.25	10	0.8
35	86	47	3.8	22.8	0.25	10	0.8
36	109	29	1	9	0.25	10	0.8
37	69	74	2.8	5.6	0.25	10	0.8
38	85	65	9.2	36.8	0.25	10	0.8
39	79	83	8.2	65.6	0.25	10	0.8
40	38	78	2.4	4.8	0.25	10	0.8
41	34	105	9.8	39.2	0.25	10	0.8
42	119	40	4.2	8.4	0.25	10	0.8
43	76	74	0.2	1	0.25	10	0.8
44	39	81	2.6	13	0.25	10	0.8
45	77	71	2.8	19.6	0.25	10	0.8
46	45	65	1.6	12.8	0.25	10	0.8
47	72	40	3.8	30.4	0.25	10	0.8
48	112	117	9.8	58.8	0.25	10	0.8
49	36	72	2.4	9.6	0.25	10	0.8
50	49	84	3.6	7.2	0.25	10	0.8
-1
