Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	77	77	0	100	0.5	20	0
1	28	124	3.4	13.6	0.25	10	0.8
2	104	72	5	10	0.25	10	0.8
3	77	104	1	2	0.25	10	0.8
4	72	81	3	12	0.25	10	0.8
5	83	80	4.6	46	0.25	10	0.8
6	89	139	5.8	17.4	0.25	10	0.8
7	79	62	4.2	37.8	0.25	10	0.8
8	36	64	6.6	52.8	0.25	10	0.8
9	143	95	1	7	0.25	10	0.8
10	14	77	3.2	32	0.25	10	0.8
11	84	30	7	42	0.25	10	0.8
12	120	117	4.2	25.2	0.25	10	0.8
13	68	26	1.8	7.2	0.25	10	0.8
14	40	57	2.6	13	0.25	10	0.8
15	63	85	5.2	26	0.25	10	0.8
16	83	78	7.6	38	0.25	10	0.8
17	79	44	2.6	23.4	0.25	10	0.8
18	82	116	9	18	0.25	10	0.8
19	119	134	2.2	15.4	0.25	10	0.8
20	119	87	5	35	0.25	10	0.8
21	78	77	5.8	23.2	0.25	10	0.8
22	105	14	5.4	10.8	0.25	10	0.8
23	109	48	6.6	26.4	0.25	10	0.8
24	88	80	2.4	19.2	0.25	10	0.8
25	75	75	2.4	19.2	0.25	10	0.8
26	14	110	0.2	0.8	0.25	10	0.8
27	111	11	9.4	65.8	0.25	10	0.8
28	66	57	0.8	5.6	0.25	10	0.8
29	85	63	8.8	70.4	0.25	10	0.8
30	36	30	5.2	26	0.25	10	0.8
31	68	75	8.8	61.6	0.25	10	0.8
32	85	92	0.2	1	0.25	10	0.8
33	124	52	8	16	0.25	10	0.8
34	31	90	8.2	65.6	0.25	10	0.8
35	81	67	7.6	53.2	0.25	10	0.8
36	44	24	7	70	0.25	10	0.8
37	132	57	10	20	0.25	10	0.8
38	96	50	9.6	38.4	0.25	10	0.8
39	75	59	6.2	24.8	0.25	10	0.8
40	49	127	2.2	15.4	0.25	10	0.8
41	73	94	6.6	19.8	0.25	10	0.8
42	59	68	4	36	0.25	10	0.8
43	69	101	5.6	22.4	0.25	10	0.8
44	76	67	8.6	60.2	0.25	10	0.8
45	81	80	8.2	16.4	0.25	10	0.8
46	76	78	2.8	19.6	0.25	10	0.8
47	103	7	9.4	56.4	0.25	10	0.8
48	82	71	0.4	0.8	0.25	10	0.8
49	78	135	8.6	68.8	0.25	10	0.8
50	53	24	4.2	21	0.25	10	0.8
51	104	88	2.4	24	0.25	10	0.8
-1
