Fixed cost (€/day)	Driver wage (€/h)	Max speed (km/h)	Weight (kg/unit)
400	18	80	200

a1(€/h)	b1(€/km)	c1(€ h^2/km^3)	d1(€/kg/km)	a2(€/h)	b2(€/km)	c2(€ h^2/km^3)	d2(€/kg/km)	s2(€/kg/day)
7.33	0.0945	0.0000382	0.0000149	2.42	0.0312	0.0000126	0.00000493	0.000136

Name	X(km)	Y(km)	demRate (units/day)	cap (units)	delTime (h)	delCost (€)	holdCost (€/unit/day)
DC	175	175	0	100	0.5	20	0
1	318	105	8	16	0.25	10	0.8
2	138	187	7.8	15.6	0.25	10	0.8
3	92	217	9.4	75.2	0.25	10	0.8
4	184	245	2.8	22.4	0.25	10	0.8
5	154	105	9.8	78.4	0.25	10	0.8
6	84	74	0.4	1.6	0.25	10	0.8
7	188	186	9	27	0.25	10	0.8
8	39	148	8.6	25.8	0.25	10	0.8
9	70	62	8.4	84	0.25	10	0.8
10	73	171	3.2	9.6	0.25	10	0.8
11	228	203	5	25	0.25	10	0.8
12	218	147	4.4	30.8	0.25	10	0.8
13	163	207	6.6	19.8	0.25	10	0.8
14	206	177	5	30	0.25	10	0.8
15	184	233	7.8	15.6	0.25	10	0.8
16	258	267	6	54	0.25	10	0.8
17	100	170	0.4	1.6	0.25	10	0.8
18	175	175	7.6	68.4	0.25	10	0.8
19	118	162	4.4	22	0.25	10	0.8
20	257	53	7.4	44.4	0.25	10	0.8
21	28	157	6.8	61.2	0.25	10	0.8
22	170	175	8.4	42	0.25	10	0.8
23	324	99	1	4	0.25	10	0.8
24	267	103	8.2	24.6	0.25	10	0.8
25	173	231	4.2	12.6	0.25	10	0.8
26	189	249	2.6	18.2	0.25	10	0.8
27	252	95	9.6	38.4	0.25	10	0.8
28	170	160	1.6	9.6	0.25	10	0.8
29	197	181	6.2	18.6	0.25	10	0.8
30	100	146	6	12	0.25	10	0.8
31	114	190	3.2	6.4	0.25	10	0.8
32	303	294	8.6	60.2	0.25	10	0.8
33	122	150	7	21	0.25	10	0.8
34	106	244	4.8	24	0.25	10	0.8
35	161	77	7.8	31.2	0.25	10	0.8
36	134	200	5.2	26	0.25	10	0.8
37	187	190	5	50	0.25	10	0.8
38	124	203	6	12	0.25	10	0.8
39	274	244	9.8	58.8	0.25	10	0.8
40	173	143	9.6	76.8	0.25	10	0.8
41	151	312	2.6	13	0.25	10	0.8
42	162	104	9	45	0.25	10	0.8
43	201	190	10	20	0.25	10	0.8
44	148	182	0.6	4.2	0.25	10	0.8
45	272	259	8.6	77.4	0.25	10	0.8
46	112	110	3.4	30.6	0.25	10	0.8
47	222	170	1.4	5.6	0.25	10	0.8
-1
